filename,pupil_x,pupil_y
gaze_px7p0_pym5p0_256.webp,7.0,-5.0
gaze_px9p0_pym5p0_256.webp,9.0,-5.0
gaze_px11p0_pym5p0_256.webp,11.0,-5.0
gaze_px13p0_pym5p0_256.webp,13.0,-5.0
gaze_px15p0_pym5p0_256.webp,15.0,-5.0
gaze_pxm15p0_pym3p0_256.webp,-15.0,-3.0
gaze_pxm13p0_pym3p0_256.webp,-13.0,-3.0
gaze_pxm11p0_pym3p0_256.webp,-11.0,-3.0
gaze_pxm9p0_pym3p0_256.webp,-9.0,-3.0
gaze_pxm7p0_pym3p0_256.webp,-7.0,-3.0
gaze_pxm5p0_pym3p0_256.webp,-5.0,-3.0
gaze_pxm3p0_pym3p0_256.webp,-3.0,-3.0
gaze_pxm1p0_pym3p0_256.webp,-1.0,-3.0
gaze_px1p0_pym3p0_256.webp,1.0,-3.0
gaze_px3p0_pym3p0_256.webp,3.0,-3.0
gaze_px5p0_pym3p0_256.webp,5.0,-3.0
gaze_px7p0_pym3p0_256.webp,7.0,-3.0
gaze_px9p0_pym3p0_256.webp,9.0,-3.0
gaze_px11p0_pym3p0_256.webp,11.0,-3.0
gaze_px13p0_pym3p0_256.webp,13.0,-3.0
gaze_px15p0_pym3p0_256.webp,15.0,-3.0
gaze_pxm15p0_pym1p0_256.webp,-15.0,-1.0
gaze_pxm13p0_pym1p0_256.webp,-13.0,-1.0
gaze_pxm11p0_pym1p0_256.webp,-11.0,-1.0
gaze_pxm9p0_pym1p0_256.webp,-9.0,-1.0
gaze_pxm7p0_pym1p0_256.webp,-7.0,-1.0
gaze_pxm5p0_pym1p0_256.webp,-5.0,-1.0
gaze_pxm3p0_pym1p0_256.webp,-3.0,-1.0
gaze_pxm1p0_pym1p0_256.webp,-1.0,-1.0
gaze_px1p0_pym1p0_256.webp,1.0,-1.0
gaze_px3p0_pym1p0_256.webp,3.0,-1.0
gaze_px5p0_pym1p0_256.webp,5.0,-1.0
gaze_px7p0_pym1p0_256.webp,7.0,-1.0
gaze_px9p0_pym1p0_256.webp,9.0,-1.0
gaze_px11p0_pym1p0_256.webp,11.0,-1.0
gaze_px13p0_pym1p0_256.webp,13.0,-1.0
gaze_px15p0_pym1p0_256.webp,15.0,-1.0
gaze_pxm15p0_py1p0_256.webp,-15.0,1.0
gaze_pxm13p0_py1p0_256.webp,-13.0,1.0
gaze_pxm11p0_py1p0_256.webp,-11.0,1.0
gaze_pxm9p0_py1p0_256.webp,-9.0,1.0
gaze_pxm7p0_py1p0_256.webp,-7.0,1.0
gaze_pxm5p0_py1p0_256.webp,-5.0,1.0
gaze_pxm3p0_py1p0_256.webp,-3.0,1.0
gaze_pxm1p0_py1p0_256.webp,-1.0,1.0
gaze_px1p0_py1p0_256.webp,1.0,1.0
gaze_px3p0_py1p0_256.webp,3.0,1.0
gaze_px5p0_py1p0_256.webp,5.0,1.0
gaze_px7p0_py1p0_256.webp,7.0,1.0
gaze_px9p0_py1p0_256.webp,9.0,1.0
gaze_px11p0_py1p0_256.webp,11.0,1.0
gaze_px13p0_py1p0_256.webp,13.0,1.0
gaze_px15p0_py1p0_256.webp,15.0,1.0
gaze_pxm15p0_py3p0_256.webp,-15.0,3.0
gaze_pxm13p0_py3p0_256.webp,-13.0,3.0
gaze_pxm11p0_py3p0_256.webp,-11.0,3.0
gaze_pxm9p0_py3p0_256.webp,-9.0,3.0
gaze_pxm7p0_py3p0_256.webp,-7.0,3.0
gaze_pxm5p0_py3p0_256.webp,-5.0,3.0
gaze_pxm3p0_py3p0_256.webp,-3.0,3.0
gaze_pxm1p0_py3p0_256.webp,-1.0,3.0
gaze_px1p0_py3p0_256.webp,1.0,3.0
gaze_px3p0_py3p0_256.webp,3.0,3.0
gaze_px5p0_py3p0_256.webp,5.0,3.0
gaze_px7p0_py3p0_256.webp,7.0,3.0
gaze_px9p0_py3p0_256.webp,9.0,3.0
gaze_px11p0_py3p0_256.webp,11.0,3.0
gaze_px13p0_py3p0_256.webp,13.0,3.0
gaze_px15p0_py3p0_256.webp,15.0,3.0
gaze_pxm15p0_py5p0_256.webp,-15.0,5.0
gaze_pxm13p0_py5p0_256.webp,-13.0,5.0
gaze_pxm11p0_py5p0_256.webp,-11.0,5.0
gaze_pxm9p0_py5p0_256.webp,-9.0,5.0
gaze_pxm7p0_py5p0_256.webp,-7.0,5.0
gaze_pxm5p0_py5p0_256.webp,-5.0,5.0
gaze_pxm3p0_py5p0_256.webp,-3.0,5.0
gaze_pxm1p0_py5p0_256.webp,-1.0,5.0
gaze_px1p0_py5p0_256.webp,1.0,5.0
gaze_px3p0_py5p0_256.webp,3.0,5.0
gaze_px5p0_py5p0_256.webp,5.0,5.0
gaze_px7p0_py5p0_256.webp,7.0,5.0
gaze_px9p0_py5p0_256.webp,9.0,5.0
gaze_px11p0_py5p0_256.webp,11.0,5.0
gaze_px13p0_py5p0_256.webp,13.0,5.0
gaze_px15p0_py5p0_256.webp,15.0,5.0
gaze_pxm15p0_py7p0_256.webp,-15.0,7.0
gaze_pxm13p0_py7p0_256.webp,-13.0,7.0
gaze_pxm11p0_py7p0_256.webp,-11.0,7.0
gaze_pxm9p0_py7p0_256.webp,-9.0,7.0
gaze_pxm7p0_py7p0_256.webp,-7.0,7.0
gaze_pxm5p0_py7p0_256.webp,-5.0,7.0
gaze_pxm3p0_py7p0_256.webp,-3.0,7.0
gaze_pxm1p0_py7p0_256.webp,-1.0,7.0
gaze_px1p0_py7p0_256.webp,1.0,7.0
gaze_px3p0_py7p0_256.webp,3.0,7.0
gaze_px5p0_py7p0_256.webp,5.0,7.0
gaze_px7p0_py7p0_256.webp,7.0,7.0
gaze_px9p0_py7p0_256.webp,9.0,7.0
gaze_px11p0_py7p0_256.webp,11.0,7.0
gaze_px13p0_py7p0_256.webp,13.0,7.0
gaze_px15p0_py7p0_256.webp,15.0,7.0
gaze_pxm15p0_py9p0_256.webp,-15.0,9.0
gaze_pxm13p0_py9p0_256.webp,-13.0,9.0
gaze_pxm11p0_py9p0_256.webp,-11.0,9.0
gaze_pxm9p0_py9p0_256.webp,-9.0,9.0
gaze_pxm7p0_py9p0_256.webp,-7.0,9.0
gaze_pxm5p0_py9p0_256.webp,-5.0,9.0
gaze_pxm3p0_py9p0_256.webp,-3.0,9.0
gaze_pxm1p0_py9p0_256.webp,-1.0,9.0
gaze_px1p0_py9p0_256.webp,1.0,9.0
gaze_px3p0_py9p0_256.webp,3.0,9.0
gaze_px5p0_py9p0_256.webp,5.0,9.0
gaze_px7p0_py9p0_256.webp,7.0,9.0
gaze_px9p0_py9p0_256.webp,9.0,9.0
gaze_px11p0_py9p0_256.webp,11.0,9.0
gaze_px13p0_py9p0_256.webp,13.0,9.0
gaze_px15p0_py9p0_256.webp,15.0,9.0
gaze_pxm15p0_py11p0_256.webp,-15.0,11.0
gaze_pxm13p0_py11p0_256.webp,-13.0,11.0
gaze_pxm11p0_py11p0_256.webp,-11.0,11.0
gaze_pxm9p0_py11p0_256.webp,-9.0,11.0
gaze_pxm7p0_py11p0_256.webp,-7.0,11.0
gaze_pxm5p0_py11p0_256.webp,-5.0,11.0
gaze_pxm3p0_py11p0_256.webp,-3.0,11.0
gaze_pxm1p0_py11p0_256.webp,-1.0,11.0
gaze_px1p0_py11p0_256.webp,1.0,11.0
gaze_px3p0_py11p0_256.webp,3.0,11.0
